"StichtagDatJahr","QuarSort","QuarCd","QuarLang","AlterVSort","AlterVKurz","AlterV05Sort","AlterV05Kurz","AnzBestWir"
2015,121,121,"Saatlen",87,87,18,"85-89",17
2015,91,091,"Albisrieden",86,86,18,"85-89",114
2015,72,072,"Hottingen",80,80,17,"80-84",57
2015,12,012,"Hochschulen",97,97,20,"95-99",3
2015,44,044,"Hard",93,93,19,"90-94",11
2015,92,092,"Altstetten",85,85,18,"85-89",145
2015,23,023,"Leimbach",92,92,19,"90-94",8
2015,115,115,"Oerlikon",89,89,18,"85-89",63
2015,21,021,"Wollishofen",93,93,19,"90-94",43
2015,102,102,"Wipkingen",89,89,18,"85-89",46
2015,111,111,"Affoltern",85,85,18,"85-89",122
2015,111,111,"Affoltern",92,92,19,"90-94",19
2015,23,023,"Leimbach",98,98,20,"95-99",2
2015,11,011,"Rathaus",86,86,18,"85-89",10
2015,23,023,"Leimbach",86,86,18,"85-89",28
2015,72,072,"Hottingen",98,98,20,"95-99",5
2015,41,041,"Werd",84,84,17,"80-84",11
2015,52,052,"Escher Wyss",80,80,17,"80-84",6
2015,42,042,"Langstrasse",90,90,19,"90-94",10
2015,42,042,"Langstrasse",89,89,18,"85-89",14
2015,13,013,"Lindenhof",97,97,20,"95-99",0
2015,61,061,"Unterstrass",95,95,20,"95-99",13
2015,92,092,"Altstetten",92,92,19,"90-94",36
2015,52,052,"Escher Wyss",91,91,19,"90-94",1
2015,31,031,"Alt-Wiedikon",88,88,18,"85-89",24
2015,101,101,"Höngg",85,85,18,"85-89",116
2015,61,061,"Unterstrass",97,97,20,"95-99",5
2015,41,041,"Werd",75,75,16,"75-79",13
2015,52,052,"Escher Wyss",92,92,19,"90-94",1
2015,41,041,"Werd",97,97,20,"95-99",1
2015,123,123,"Hirzenbach",71,71,15,"70-74",73
2015,13,013,"Lindenhof",74,74,15,"70-74",5
2015,21,021,"Wollishofen",92,92,19,"90-94",53
2015,11,011,"Rathaus",87,87,18,"85-89",7
2015,81,081,"Seefeld",99,99,20,"95-99",1
2015,83,083,"Weinegg",97,97,20,"95-99",2
2015,74,074,"Witikon",75,75,16,"75-79",110
2015,119,119,"Seebach",98,98,20,"95-99",4
2015,21,021,"Wollishofen",84,84,17,"80-84",95
2015,51,051,"Gewerbeschule",96,96,20,"95-99",2
2015,101,101,"Höngg",84,84,17,"80-84",134
2015,101,101,"Höngg",88,88,18,"85-89",83
2015,71,071,"Fluntern",75,75,16,"75-79",65
2015,121,121,"Saatlen",96,96,20,"95-99",1
2015,91,091,"Albisrieden",83,83,17,"80-84",125
2015,83,083,"Weinegg",93,93,19,"90-94",9
2015,92,092,"Altstetten",99,99,20,"95-99",2
2015,13,013,"Lindenhof",99,99,20,"95-99",0
2015,63,063,"Oberstrass",98,98,20,"95-99",2
2015,82,082,"Mühlebach",96,96,20,"95-99",1
2015,83,083,"Weinegg",78,78,16,"75-79",24
2015,119,119,"Seebach",7,7,2,"5-9",224
2015,115,115,"Oerlikon",87,87,18,"85-89",77
2015,71,071,"Fluntern",96,96,20,"95-99",7
2015,119,119,"Seebach",87,87,18,"85-89",76
2015,42,042,"Langstrasse",93,93,19,"90-94",3
2015,72,072,"Hottingen",91,91,19,"90-94",24
2015,91,091,"Albisrieden",89,89,18,"85-89",91
2015,71,071,"Fluntern",94,94,19,"90-94",13
2015,44,044,"Hard",74,74,15,"70-74",55
2015,122,122,"Schwamendingen-Mitte",9,9,2,"5-9",74
2015,83,083,"Weinegg",88,88,18,"85-89",22
2015,92,092,"Altstetten",9,9,2,"5-9",277
2015,115,115,"Oerlikon",81,81,17,"80-84",78
2015,24,024,"Enge",94,94,19,"90-94",11
2015,44,044,"Hard",98,98,20,"95-99",1
